feat,EE87519
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,7.191390013682566e-05
67,7.506801856387942e-05
68,8.516119753045143e-05
69,7.380637119305792e-05
70,9.84084949240772e-05
71,6.182072117025363e-05
72,8.642284490127293e-05
73,9.651602386784497e-05
74,0.0001078708502052
75,9.210025806996972e-05
76,8.957696332832669e-05
77,0.0001021934370365
78,8.516119753045143e-05
79,9.020778701373744e-05
80,9.33619054407912e-05
81,0.0001078708502052
82,0.000109132497576
83,0.0001324729739362
84,0.0001255339133967
85,0.0001255339133967
86,0.0001255339133967
87,0.000105978379149
88,0.0001469819187007
89,0.0001495052134423
90,0.0001488743897569
91,0.0001602292160943
92,0.0001482435660715
93,0.0001608600397797
94,0.0001608600397797
95,0.0001608600397797
96,0.0002296198214895
97,0.0001930320477356
98,0.0002113259346126
99,0.0010074254256009
100,0.001165762170639
101,0.001236414423405
102,0.0012067657101907
103,0.0011727012311785
104,0.0011039414494688
105,0.0010604146151754
106,0.0010534755546359
107,0.001091955799446
108,0.0011405292232226
109,0.0012988659682607
110,0.0014975754291651
111,0.0016029229846287
112,0.0016067079267411
113,0.0013878121079036
114,0.001331668799902
115,0.0013228372683063
116,0.0013783497526224
117,0.0014155683500617
118,0.0015127151976149
119,0.001678621826878
120,0.0019839404906168
121,0.0023927142387629
122,0.0026620759524333
123,0.0025075241495077
124,0.0020974887539907
125,0.001830650335062
126,0.0017044855979798
127,0.0017896467955103
128,0.0020192666169998
129,0.0022753810332765
130,0.0025384345100928
131,0.0030998675901084
132,0.0039678809812336
133,0.0046945898668268
134,0.0046378157351398
135,0.0043028483581867
136,0.0038284689467578
137,0.0041262177262717
138,0.0047942600091217
139,0.0055954060895933
140,0.0066974550680059
141,0.0074500277247009
142,0.0077074037883485
143,0.0079641490283107
144,0.0079023283071404
145,0.0081205933022926
146,0.008322456881624
147,0.0084164496107502
148,0.0088763200774146
149,0.0093172658335167
150,0.0100546987217619
151,0.0106785833466332
152,0.0114702670718236
153,0.0116948403038299
154,0.0113901524637765
155,0.0115232562613981
156,0.0121351552362466
157,0.0136358847838388
158,0.0148300340203213
159,0.0165843546894486
160,0.0177526401548293
161,0.0186717502644728
162,0.0194489250448988
163,0.0215237041462148
164,0.0240167193509581
165,0.0262946236789763
166,0.0272175187307322
167,0.027180300133293
168,0.0266384225875252
169,0.0259634412441357
170,0.0245731058414904
171,0.023646425847622
172,0.0225204055691638
173,0.02181577551256
174,0.0215129801435628
175,0.0211407941691705
176,0.020656321578775
177,0.0194773121107423
178,0.0181210411871092
179,0.016829114279388
180,0.0154198541661804
181,0.01412918890583
182,0.0130977921801834
183,0.0120916284019532
184,0.0114652204823404
185,0.011125206515904
186,0.0105429562542698
187,0.009997924590075
188,0.0094661402232737
189,0.0089154311459101
190,0.008311732878972
191,0.0075168950353545
192,0.0069649243106201
193,0.0064432331227854
194,0.0060439217299204
195,0.0056054992685599
196,0.0053884959207786
197,0.005071191607017
198,0.0048030915407174
199,0.004533729827047
200,0.00430789494767
201,0.0039571569785816
202,0.0037262755097213
203,0.0034619603855342
204,0.0032108925587407
205,0.0030001974478135
206,0.0028014879869091
207,0.0026980329025017
208,0.0024646281388998
209,0.0023517106992112
210,0.0022369007884665
211,0.0021208292303509
212,0.0019637541326836
213,0.0018539908114221
214,0.0017240411322275
215,0.0015455180292563
216,0.0014496328290739
217,0.0013878121079036
218,0.0012591240760798
219,0.0012244287733822
220,0.0010938482705022
221,0.0010604146151754
222,0.0010446440230402
223,0.0009512821175994
224,0.000904601164879
225,0.0008011460804716
226,0.000766450777774
227,0.0007412178303576
228,0.0007014759381767
229,0.0006661498117937
230,0.0006535333380855
231,0.0005879276748028
232,0.0005399850747116
233,0.0005734187300383
234,0.0005185370694076
235,0.0004705944693164
236,0.0004674403508893
237,0.0004478848166416
238,0.0004832109430246
239,0.0004245443402814
240,0.0004144511613148
241,0.0004138203376294
242,0.0003930031560108
243,0.0003829099770443
244,0.0004106662192023
245,0.0003766017401902
246,0.0003602003243695
247,0.0003362290243239
248,0.0003646160901674
249,0.0003501071454029
250,0.0003627236191111
251,0.0003349673769531
252,0.0003791250349318
253,0.0003311824348406
254,0.0003015337216263
255,0.0003160426663907
256,0.0003097344295366
257,0.0003374906716947
258,0.0003419064374926
259,0.0003570462059424
260,0.000331813258526
261,0.0003128885479637
262,0.0003557845585716
263,0.0003154118427053
264,0.0003450605559196
265,0.0003519996164591
266,0.0003305516111552
267,0.0003324440822114
268,0.0003387523190655
269,0.0003728167980777
270,0.0003324440822114
271,0.0003734476217631
272,0.0003728167980777
273,0.0004018346876066
274,0.0004012038639212
275,0.0003803866823026
276,0.0003721859743923
277,0.0004188669271127
278,0.0003930031560108
279,0.0004226518692252
280,0.000459239642979
281,0.0004497772876978
282,0.0007487877145825
283,0.0004258059876522
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
