"seqnames"	"start"	"end"	"width"	"strand"	"bases"	"gc"	"mappability"	"blacklist"	"residual"	"use"	"binIndex"
"1"	1	1000000	1000000	"*"	84	46.8094047619048	32.2329	0.9917	NA	TRUE	"bin1"
"1"	1000001	2000000	1000000	"*"	100	56.8915	79.1852	0.0097	-0.0221873749718378	TRUE	"bin2"
"1"	2000001	3000000	1000000	"*"	95	58.2245263157895	88.4293	5.104	0.0436576636956546	TRUE	"bin3"
"1"	3000001	4000000	1000000	"*"	85	56.9569411764706	93.609	0.0523	-2.33380727824306e-05	TRUE	"bin4"
"1"	4000001	5000000	1000000	"*"	100	48.2201	90.7994	0.0291	-0.024771817876354	TRUE	"bin5"
"1"	5000001	6000000	1000000	"*"	100	46.9288	92.423	1.0785	-0.00244183425605166	TRUE	"bin6"
"1"	6000001	7000000	1000000	"*"	100	51.752	86.3725	0	-0.00268439129691639	TRUE	"bin7"
"1"	7000001	8000000	1000000	"*"	100	47.9461	90.7006	0	-0.016648662396007	TRUE	"bin8"
"1"	8000001	9000000	1000000	"*"	100	44.4356	83.2066	0	-0.00575155787096138	TRUE	"bin9"
"1"	9000001	10000000	1000000	"*"	100	50.197	82.1503	0	0.00827510326192393	TRUE	"bin10"
"1"	10000001	11000000	1000000	"*"	100	47.8274	83.6033	0	-0.0258134815959763	TRUE	"bin11"
"1"	11000001	12000000	1000000	"*"	100	50.0043	84.3035	0	0.031918373946946	TRUE	"bin12"
"1"	12000001	13000000	1000000	"*"	100	46.9178	77.8374	0	0.0371492541751656	TRUE	"bin13"
"1"	13000001	14000000	1000000	"*"	80	46.36525	42.0151	0	NA	TRUE	"bin14"
"1"	14000001	15000000	1000000	"*"	100	43.1262	90.3229	0	0.00982663073294998	TRUE	"bin15"
"1"	15000001	16000000	1000000	"*"	100	48.383	87.4182	0	0.0144664280682896	TRUE	"bin16"
"1"	16000001	17000000	1000000	"*"	100	49.6197	73.2626	0.15	0.0575657388737608	TRUE	"bin17"
"1"	17000001	18000000	1000000	"*"	95	50.6775789473684	77.6886	0.0346	0.0295540354315663	TRUE	"bin18"
"1"	18000001	19000000	1000000	"*"	100	49.1613	94.0385	0	0.00708377729240239	TRUE	"bin19"
"1"	19000001	20000000	1000000	"*"	100	48.7321	89.613	0	0.0023745796114204	TRUE	"bin20"
"1"	20000001	21000000	1000000	"*"	100	47.3806	87.4077	0	0.0162554000817959	TRUE	"bin21"
"1"	21000001	22000000	1000000	"*"	100	46.0534	82.5122	0	-0.0481084190199588	TRUE	"bin22"
"1"	22000001	23000000	1000000	"*"	100	49.1468	87.0534	0.0068	-0.0116604438808438	TRUE	"bin23"
"1"	23000001	24000000	1000000	"*"	100	47.2911	85.8537	0	0.00818688251827293	TRUE	"bin24"
"1"	24000001	25000000	1000000	"*"	100	46.4707	83.3568	0	-0.0690175053044649	TRUE	"bin25"
"1"	25000001	26000000	1000000	"*"	100	47.4254	80.9671	0.0113	-0.0331303539789278	TRUE	"bin26"
"1"	26000001	27000000	1000000	"*"	100	48.7044	83.2684	0	0.0278520085329531	TRUE	"bin27"
"1"	27000001	28000000	1000000	"*"	100	49.5588	81.5782	0	0.0296366203491899	TRUE	"bin28"
"1"	28000001	29000000	1000000	"*"	100	45.2362	76.4188	0.0071	0.0301511089031792	TRUE	"bin29"
"1"	29000001	30000000	1000000	"*"	87.8082	46.6992832104519	83.8241	0	-0.00266515615797519	TRUE	"bin30"
"1"	30000001	31000000	1000000	"*"	97.1918	47.7760469504629	91.6925	0.0079	0.00873814928534433	TRUE	"bin31"
"1"	31000001	32000000	1000000	"*"	100	46.9672	85.7417	0.0149	-0.000903320846532107	TRUE	"bin32"
"1"	32000001	33000000	1000000	"*"	100	48.2056	82.8911	0.008	0.011606639317992	TRUE	"bin33"
"1"	33000001	34000000	1000000	"*"	100	46.7666	84.1766	0	0.0116983325121659	TRUE	"bin34"
"1"	34000001	35000000	1000000	"*"	100	44.6014	93.0721	0	0.029576710193026	TRUE	"bin35"
"1"	35000001	36000000	1000000	"*"	100	43.3097	84.4873	0	0.00177331634362821	TRUE	"bin36"
"1"	36000001	37000000	1000000	"*"	100	46.0455	83.752	0	-0.0122814845506173	TRUE	"bin37"
"1"	37000001	38000000	1000000	"*"	100	48.0215	92.4176	0.0063	0.0399964032507754	TRUE	"bin38"
"1"	38000001	39000000	1000000	"*"	100	46.6472	87.7558	0.0076	0.0243456030005863	TRUE	"bin39"
"1"	39000001	40000000	1000000	"*"	100	44.4043	83.5223	0.0048	0.00691825192176254	TRUE	"bin40"
